gameID,teamID,season,date,location,goals,xGoals,shots,shotsOnTarget,fouls,corners,yellowCards,redCards,result
105,75,2015,2015-08-22 18:00:00,h,1,0.829012,13,2,7,2,1.0,0,D
105,82,2015,2015-08-22 18:00:00,a,1,1.89437,19,6,14,7,4.0,0,D
106,81,2015,2015-08-22 18:00:00,h,3,1.50203,10,4,8,5,0.0,1,L
106,73,2015,2015-08-22 18:00:00,a,4,2.8554,15,7,11,4,0.0,0,W
107,76,2015,2015-08-23 16:30:00,h,2,1.42622,15,6,9,8,2.0,0,L
107,80,2015,2015-08-23 16:30:00,a,3,2.02778,15,5,12,7,1.0,1,W
108,72,2015,2015-08-23 19:00:00,h,0,0.579338,10,1,5,8,0.0,0,L
108,88,2015,2015-08-23 19:00:00,a,2,1.57983,16,9,7,7,3.0,0,W
109,90,2015,2015-08-23 19:00:00,h,0,1.17588,13,0,10,5,0.0,0,D
109,74,2015,2015-08-23 19:00:00,a,0,0.68359,14,5,11,2,2.0,0,D
110,83,2015,2015-08-24 23:00:00,h,0,1.83755,19,5,2,7,1.0,0,D
110,87,2015,2015-08-24 23:00:00,a,0,1.29206,15,8,13,8,4.0,0,D
111,86,2015,2015-08-29 15:45:00,h,0,0.0319694,1,0,15,0,6.0,1,L
111,83,2015,2015-08-29 15:45:00,a,1,2.33948,22,9,8,9,1.0,0,W
112,85,2015,2015-08-29 18:00:00,h,0,1.21771,13,5,4,6,1.0,2,L
112,76,2015,2015-08-29 18:00:00,a,1,0.881194,15,5,9,5,4.0,0,W
113,71,2015,2015-08-29 18:00:00,h,2,2.27406,21,6,10,5,2.0,0,D
113,77,2015,2015-08-29 18:00:00,a,2,0.368848,7,3,14,4,1.0,0,D
114,73,2015,2015-08-29 18:00:00,h,1,0.321432,5,2,9,4,2.0,0,D
114,75,2015,2015-08-29 18:00:00,a,1,0.919097,4,2,19,4,4.0,0,D
115,80,2015,2015-08-29 18:00:00,h,1,1.27906,26,9,9,7,1.0,0,L
115,78,2015,2015-08-29 18:00:00,a,2,2.19283,13,5,15,7,1.0,0,W
116,87,2015,2015-08-29 18:00:00,h,0,0.561737,13,1,17,5,3.0,1,L
116,81,2015,2015-08-29 18:00:00,a,3,0.97217,12,5,11,7,1.0,1,W
117,88,2015,2015-08-29 18:00:00,h,2,1.52895,18,5,9,9,1.0,0,W
117,90,2015,2015-08-29 18:00:00,a,0,0.363603,7,0,12,3,2.0,0,L
118,82,2015,2015-08-29 20:30:00,h,0,1.99917,20,6,20,6,4.0,0,D
118,72,2015,2015-08-29 20:30:00,a,0,0.694692,8,3,9,2,1.0,0,D
119,74,2015,2015-08-30 16:30:00,h,3,2.85501,23,8,4,6,0.0,0,W
119,79,2015,2015-08-30 16:30:00,a,0,0.639434,6,1,12,4,0.0,1,L
120,84,2015,2015-08-30 19:00:00,h,2,0.971183,9,4,6,0,2.0,0,W
120,89,2015,2015-08-30 19:00:00,a,1,1.28089,11,4,15,1,2.0,0,L
121,72,2015,2015-09-12 15:45:00,h,3,1.18026,14,9,12,7,2.0,0,W
121,80,2015,2015-09-12 15:45:00,a,1,0.656048,15,2,12,14,2.0,0,L
122,83,2015,2015-09-12 18:00:00,h,2,4.42684,29,12,6,13,1.0,0,W
122,85,2015,2015-09-12 18:00:00,a,0,0.191277,8,3,13,1,1.0,0,L
123,78,2015,2015-09-12 18:00:00,h,0,0.743193,10,2,13,4,2.0,0,L
123,88,2015,2015-09-12 18:00:00,a,1,3.08883,21,7,13,4,3.0,0,W
124,90,2015,2015-09-12 18:00:00,h,1,1.57333,17,6,11,1,1.0,1,W
124,84,2015,2015-09-12 18:00:00,a,0,0.503008,8,3,14,3,1.0,0,L
125,76,2015,2015-09-12 18:00:00,h,0,0.409143,8,1,5,4,1.0,0,D
125,74,2015,2015-09-12 18:00:00,a,0,1.00731,15,4,5,5,0.0,0,D
126,79,2015,2015-09-12 18:00:00,h,3,1.33151,12,4,10,4,2.0,0,W
126,73,2015,2015-09-12 18:00:00,a,1,0.389495,7,2,11,4,3.0,0,L
127,89,2015,2015-09-12 20:30:00,h,3,1.46206,9,3,6,4,1.0,0,W
127,87,2015,2015-09-12 20:30:00,a,1,1.02572,8,4,11,4,2.0,0,L
128,77,2015,2015-09-13 16:30:00,h,0,1.0407,12,2,11,6,2.0,0,L
128,82,2015,2015-09-13 16:30:00,a,1,1.45615,15,4,12,8,1.0,0,W
129,75,2015,2015-09-13 19:00:00,h,3,1.34987,21,6,8,4,2.0,0,W
129,71,2015,2015-09-13 19:00:00,a,2,0.953181,11,4,13,5,1.0,0,L
130,81,2015,2015-09-14 23:00:00,h,2,1.71282,17,3,8,6,0.0,0,W
130,86,2015,2015-09-14 23:00:00,a,0,0.716599,14,4,11,7,2.0,0,L
131,80,2015,2015-09-19 15:45:00,h,2,2.0687,22,6,12,5,3.0,0,W
131,83,2015,2015-09-19 15:45:00,a,0,0.775312,9,2,11,5,1.0,2,L
132,86,2015,2015-09-19 18:00:00,h,1,1.15114,15,5,8,5,1.0,0,L
132,90,2015,2015-09-19 18:00:00,a,2,1.33961,13,4,12,5,2.0,0,W
133,71,2015,2015-09-19 18:00:00,h,0,0.876719,13,3,10,2,2.0,0,L
133,76,2015,2015-09-19 18:00:00,a,1,0.632761,11,6,11,7,3.0,0,W
134,73,2015,2015-09-19 18:00:00,h,2,0.644335,15,5,14,7,2.0,0,W
134,77,2015,2015-09-19 18:00:00,a,0,0.854867,9,2,15,3,4.0,1,L
135,85,2015,2015-09-19 18:00:00,h,2,1.14717,11,4,7,3,1.0,0,D
135,75,2015,2015-09-19 18:00:00,a,2,1.22582,12,5,12,4,4.0,0,D
136,84,2015,2015-09-19 18:00:00,h,0,0.864868,12,3,12,2,2.0,0,D
136,72,2015,2015-09-19 18:00:00,a,0,1.77458,17,2,11,4,2.0,1,D
137,88,2015,2015-09-19 20:30:00,h,1,2.98465,27,8,10,16,1.0,0,L
137,81,2015,2015-09-19 20:30:00,a,2,0.995273,6,3,7,3,2.0,0,W
138,82,2015,2015-09-20 16:30:00,h,1,1.01573,21,6,9,6,1.0,0,W
138,78,2015,2015-09-20 16:30:00,a,0,0.538439,12,4,11,5,2.0,0,L
139,74,2015,2015-09-20 19:00:00,h,2,1.83663,15,8,6,5,2.0,0,L
139,89,2015,2015-09-20 19:00:00,a,3,1.65119,10,3,13,5,0.0,0,W
140,87,2015,2015-09-20 19:00:00,h,1,1.90447,23,7,4,6,1.0,0,D
140,79,2015,2015-09-20 19:00:00,a,1,0.556271,7,2,13,2,2.0,0,D
141,82,2015,2015-09-26 15:45:00,h,4,2.30799,15,8,17,5,5.0,0,W
141,88,2015,2015-09-26 15:45:00,a,1,1.57842,22,8,6,9,1.0,0,L
142,74,2015,2015-09-26 18:00:00,h,3,1.55418,17,6,18,4,3.0,0,W
142,84,2015,2015-09-26 18:00:00,a,1,1.41962,11,4,14,3,1.0,0,L
143,85,2015,2015-09-26 18:00:00,h,2,1.94483,8,5,13,3,1.0,0,W
143,73,2015,2015-09-26 18:00:00,a,1,0.871678,12,6,11,7,0.0,0,L
144,75,2015,2015-09-26 18:00:00,h,2,1.38516,16,7,9,6,1.0,0,L
144,83,2015,2015-09-26 18:00:00,a,5,3.89623,27,12,12,5,1.0,0,W
145,87,2015,2015-09-26 18:00:00,h,3,1.78331,21,12,8,11,0.0,0,W
145,71,2015,2015-09-26 18:00:00,a,2,0.892054,10,4,13,1,0.0,0,L
146,89,2015,2015-09-26 18:00:00,h,3,2.8971,12,7,12,5,0.0,0,W
146,77,2015,2015-09-26 18:00:00,a,0,0.832139,9,4,17,2,3.0,0,L
147,81,2015,2015-09-26 18:00:00,h,2,2.60407,19,7,7,7,0.0,0,D
147,79,2015,2015-09-26 18:00:00,a,2,1.38603,16,7,17,5,0.0,0,D
148,86,2015,2015-09-26 20:30:00,h,2,0.702109,11,5,12,4,1.0,0,D
148,80,2015,2015-09-26 20:30:00,a,2,1.30593,16,4,15,6,2.0,0,D
149,90,2015,2015-09-27 19:00:00,h,0,0.685939,15,2,17,6,4.0,0,L
149,78,2015,2015-09-27 19:00:00,a,1,2.33566,16,3,22,4,4.0,0,W
150,76,2015,2015-09-28 23:00:00,h,2,1.27511,9,4,9,6,0.0,0,L
150,72,2015,2015-09-28 23:00:00,a,3,2.30159,12,4,8,4,3.0,0,W
151,78,2015,2015-10-03 15:45:00,h,2,1.99083,21,8,14,8,3.0,0,W
151,76,2015,2015-10-03 15:45:00,a,0,0.255528,7,2,13,3,3.0,0,L
152,71,2015,2015-10-03 18:00:00,h,0,0.839028,13,2,12,9,1.0,0,L
152,85,2015,2015-10-03 18:00:00,a,1,1.03499,12,5,12,5,0.0,0,W
153,73,2015,2015-10-03 18:00:00,h,1,1.50268,12,6,8,5,1.0,0,D
153,90,2015,2015-10-03 18:00:00,a,1,0.913291,11,2,13,3,1.0,0,D
154,88,2015,2015-10-03 18:00:00,h,6,3.3346,23,11,13,6,3.0,0,W
154,86,2015,2015-10-03 18:00:00,a,1,0.980279,6,4,8,3,1.0,0,L
155,79,2015,2015-10-03 18:00:00,h,1,1.18074,17,2,4,16,0.0,0,L
155,75,2015,2015-10-03 18:00:00,a,2,3.00282,16,5,4,8,1.0,0,W
156,77,2015,2015-10-03 18:00:00,h,2,1.08401,12,3,14,1,2.0,1,D
156,81,2015,2015-10-03 18:00:00,a,2,1.93656,20,6,11,8,4.0,0,D
157,80,2015,2015-10-03 20:30:00,h,1,0.520175,10,3,14,4,2.0,0,L
157,74,2015,2015-10-03 20:30:00,a,3,1.58246,13,5,14,6,5.0,0,W
158,72,2015,2015-10-04 16:30:00,h,1,1.20063,14,4,10,5,3.0,0,D
158,87,2015,2015-10-04 16:30:00,a,1,1.30844,13,4,19,11,3.0,0,D
159,84,2015,2015-10-04 19:00:00,h,2,0.774806,11,2,8,5,1.0,0,D
159,82,2015,2015-10-04 19:00:00,a,2,1.18142,19,11,19,6,4.0,0,D
160,83,2015,2015-10-04 19:00:00,h,3,2.16952,12,5,8,3,1.0,0,W
160,89,2015,2015-10-04 19:00:00,a,0,1.03953,9,5,17,6,3.0,0,L
161,82,2015,2015-10-17 15:45:00,h,0,0.586228,13,4,15,8,1.0,0,D
161,87,2015,2015-10-17 15:45:00,a,0,0.715892,12,3,11,6,2.0,0,D
162,74,2015,2015-10-17 18:00:00,h,2,1.46668,13,6,16,6,2.0,0,D
162,75,2015,2015-10-17 18:00:00,a,2,2.78648,27,7,10,7,0.0,0,D
163,76,2015,2015-10-17 18:00:00,h,1,2.07781,9,2,12,1,2.0,0,W
163,77,2015,2015-10-17 18:00:00,a,0,0.658473,9,2,13,5,2.0,0,L
164,80,2015,2015-10-17 18:00:00,h,2,1.22875,9,3,22,4,1.0,0,W
164,71,2015,2015-10-17 18:00:00,a,0,0.795846,10,1,17,4,3.0,0,L
165,78,2015,2015-10-17 18:00:00,h,1,1.08391,6,1,9,1,1.0,1,L
165,81,2015,2015-10-17 18:00:00,a,3,2.76356,24,4,11,9,3.0,0,W
166,72,2015,2015-10-17 18:00:00,h,0,0.653457,12,3,12,5,2.0,0,L
166,89,2015,2015-10-17 18:00:00,a,3,1.47853,10,7,14,3,2.0,0,W
167,88,2015,2015-10-17 18:00:00,h,5,4.71274,16,11,11,1,2.0,0,W
167,73,2015,2015-10-17 18:00:00,a,1,0.173025,5,1,5,7,1.0,0,L
168,90,2015,2015-10-17 20:30:00,h,0,0.254791,8,1,11,3,2.0,0,L
168,83,2015,2015-10-17 20:30:00,a,3,2.69046,17,6,12,9,1.0,0,W
169,86,2015,2015-10-18 19:00:00,h,6,2.24896,11,6,10,3,1.0,0,W
169,79,2015,2015-10-18 19:00:00,a,2,1.34395,18,6,10,7,1.0,0,L
170,84,2015,2015-10-19 23:00:00,h,0,0.485489,14,2,6,1,2.0,0,L
170,85,2015,2015-10-19 23:00:00,a,1,1.64894,9,2,14,2,2.0,0,W
171,71,2015,2015-10-24 18:00:00,h,1,1.09516,9,3,10,4,2.0,0,L
171,84,2015,2015-10-24 18:00:00,a,2,1.74353,10,4,8,6,3.0,0,W
172,75,2015,2015-10-24 18:00:00,h,1,1.33502,12,3,7,3,3.0,0,W
172,78,2015,2015-10-24 18:00:00,a,0,0.240008,9,4,11,2,1.0,0,L
173,81,2015,2015-10-24 18:00:00,h,2,0.77284,12,5,10,7,1.0,0,W
173,80,2015,2015-10-24 18:00:00,a,1,1.1356,9,4,12,4,5.0,1,L
174,79,2015,2015-10-24 18:00:00,h,0,1.03228,16,3,11,13,1.0,0,L
174,76,2015,2015-10-24 18:00:00,a,1,1.45436,7,4,6,3,2.0,0,W
175,85,2015,2015-10-24 18:00:00,h,0,0.848432,11,0,10,11,3.0,0,L
175,90,2015,2015-10-24 18:00:00,a,2,1.0403,13,3,18,5,1.0,0,W
176,83,2015,2015-10-24 20:30:00,h,2,2.55754,20,5,11,7,2.0,0,W
176,72,2015,2015-10-24 20:30:00,a,1,0.373025,10,5,14,5,0.0,1,L
177,77,2015,2015-10-25 16:00:00,h,3,2.37969,9,3,12,1,0.0,0,W
177,86,2015,2015-10-25 16:00:00,a,0,1.41744,21,8,10,10,2.0,1,L
178,73,2015,2015-10-25 18:05:00,h,1,0.490581,11,3,8,4,0.0,0,L
178,82,2015,2015-10-25 18:05:00,a,5,3.43313,14,9,15,5,1.0,0,W
179,89,2015,2015-10-25 18:05:00,h,0,0.391754,6,1,17,6,2.0,0,D
179,88,2015,2015-10-25 18:05:00,a,0,0.310718,6,1,13,4,2.0,0,D
180,87,2015,2015-10-25 20:15:00,h,1,0.682823,15,2,8,10,1.0,0,D
180,74,2015,2015-10-25 20:15:00,a,1,1.56383,8,3,11,7,0.0,1,D
181,80,2015,2015-10-31 16:45:00,h,1,0.735762,8,2,9,1,1.0,0,L
181,87,2015,2015-10-31 16:45:00,a,3,0.839342,16,7,21,7,4.0,0,W
182,78,2015,2015-10-31 19:00:00,h,0,0.939118,10,5,12,7,3.0,0,D
182,89,2015,2015-10-31 19:00:00,a,0,0.394404,5,1,15,3,3.0,0,D
183,88,2015,2015-10-31 19:00:00,h,2,2.83557,21,5,4,12,2.0,0,W
183,79,2015,2015-10-31 19:00:00,a,1,1.17497,5,3,13,4,2.0,1,L
184,86,2015,2015-10-31 19:00:00,h,0,1.26075,15,6,6,11,1.0,0,D
184,85,2015,2015-10-31 19:00:00,a,0,1.38017,9,2,16,4,3.0,0,D
185,84,2015,2015-10-31 19:00:00,h,0,0.264441,7,3,12,4,2.0,0,L
185,83,2015,2015-10-31 19:00:00,a,3,2.17657,14,5,7,4,0.0,0,W
186,90,2015,2015-10-31 19:00:00,h,2,1.61544,20,5,16,7,3.0,0,W
186,81,2015,2015-10-31 19:00:00,a,0,0.605625,8,3,12,2,0.0,1,L
187,76,2015,2015-10-31 19:00:00,h,2,1.50447,14,6,3,6,0.0,0,L
187,75,2015,2015-10-31 19:00:00,a,3,2.22545,13,5,11,4,2.0,0,W
188,72,2015,2015-11-01 17:30:00,h,6,2.34852,15,8,6,6,3.0,0,W
188,77,2015,2015-11-01 17:30:00,a,2,1.21834,17,9,5,1,2.0,0,L
189,74,2015,2015-11-01 20:00:00,h,2,1.15966,11,2,5,4,0.0,1,W
189,73,2015,2015-11-01 20:00:00,a,0,0.712132,16,2,5,6,2.0,0,L
190,82,2015,2015-11-03 00:00:00,h,3,1.14374,17,6,6,4,0.0,0,W
190,71,2015,2015-11-03 00:00:00,a,1,0.325711,13,2,15,3,3.0,0,L
191,73,2015,2015-11-07 16:45:00,h,0,1.00427,20,5,9,16,2.0,0,L
191,86,2015,2015-11-07 16:45:00,a,1,0.504409,2,1,11,0,2.0,0,W
192,75,2015,2015-11-07 19:00:00,h,2,1.56389,12,6,10,4,0.0,0,W
192,90,2015,2015-11-07 19:00:00,a,1,1.00531,8,4,10,2,1.0,0,L
193,89,2015,2015-11-07 19:00:00,h,2,1.2779,13,3,11,5,1.0,0,W
193,76,2015,2015-11-07 19:00:00,a,0,0.594031,4,0,10,1,3.0,1,L
194,79,2015,2015-11-07 19:00:00,h,1,1.19517,9,5,12,5,1.0,0,W
194,84,2015,2015-11-07 19:00:00,a,0,0.402284,8,0,7,2,0.0,0,L
195,81,2015,2015-11-07 19:00:00,h,1,0.589567,16,5,11,3,1.0,0,D
195,72,2015,2015-11-07 19:00:00,a,1,1.08814,13,4,12,5,2.0,0,D
196,77,2015,2015-11-07 19:00:00,h,0,0.299104,9,3,3,10,1.0,0,L
196,74,2015,2015-11-07 19:00:00,a,1,1.79578,14,5,7,11,3.0,0,W
197,85,2015,2015-11-07 21:30:00,h,1,0.825418,8,2,13,1,3.0,0,W
197,80,2015,2015-11-07 21:30:00,a,0,1.02642,19,4,10,9,1.0,0,L
198,71,2015,2015-11-08 17:30:00,h,0,0.182741,3,0,7,3,1.0,0,D
198,88,2015,2015-11-08 17:30:00,a,0,1.53281,13,3,7,8,1.0,0,D
199,83,2015,2015-11-08 20:00:00,h,1,2.01767,10,4,12,7,0.0,0,D
199,82,2015,2015-11-08 20:00:00,a,1,0.90585,14,4,17,6,1.0,0,D
200,87,2015,2015-11-08 20:00:00,h,1,2.15673,22,4,7,14,1.0,0,L
200,78,2015,2015-11-08 20:00:00,a,2,0.849281,9,4,6,6,2.0,0,W
201,90,2015,2015-11-21 16:45:00,h,1,1.47077,10,5,6,4,1.0,0,L
201,89,2015,2015-11-21 16:45:00,a,2,1.30264,13,6,12,10,2.0,0,W
202,84,2015,2015-11-21 19:00:00,h,2,1.88526,11,4,7,4,3.0,0,D
202,73,2015,2015-11-21 19:00:00,a,2,1.58509,16,4,9,5,2.0,0,D
203,74,2015,2015-11-21 19:00:00,h,0,0.709485,15,1,8,7,2.0,0,L
203,85,2015,2015-11-21 19:00:00,a,1,1.19495,16,4,8,3,0.0,0,W
204,76,2015,2015-11-21 19:00:00,h,2,0.332888,4,1,14,3,3.0,0,W
204,83,2015,2015-11-21 19:00:00,a,1,2.08956,11,3,10,5,2.0,0,L
205,86,2015,2015-11-21 19:00:00,h,0,0.372387,9,1,9,4,4.0,0,L
205,75,2015,2015-11-21 19:00:00,a,3,3.27478,18,7,12,9,1.0,0,W
206,72,2015,2015-11-21 19:00:00,h,4,2.83068,16,9,6,2,0.0,0,W
206,71,2015,2015-11-21 19:00:00,a,0,0.322061,10,3,9,3,0.0,0,L
207,80,2015,2015-11-21 19:00:00,h,1,2.16487,21,7,4,6,1.0,0,W
207,79,2015,2015-11-21 19:00:00,a,0,0.202798,4,2,12,5,4.0,0,L
208,88,2015,2015-11-21 21:30:00,h,1,1.08612,11,3,5,11,0.0,0,L
208,87,2015,2015-11-21 21:30:00,a,4,2.61697,14,9,13,5,3.0,0,W
209,82,2015,2015-11-22 20:00:00,h,4,3.22353,22,12,13,7,2.0,0,W
209,81,2015,2015-11-22 20:00:00,a,1,0.818937,10,4,9,6,2.0,0,L
210,78,2015,2015-11-24 00:00:00,h,0,0.696183,19,7,18,11,1.0,0,L
210,77,2015,2015-11-24 00:00:00,a,1,1.30739,12,4,11,2,3.0,0,W
211,77,2015,2015-11-28 19:00:00,h,2,0.863466,18,5,4,9,0.0,0,W
211,85,2015,2015-11-28 19:00:00,a,0,0.79464,7,3,10,5,2.0,1,L
212,71,2015,2015-11-28 19:00:00,h,2,1.48969,12,6,6,10,2.0,0,L
212,90,2015,2015-11-28 19:00:00,a,3,1.45176,14,6,13,10,3.0,0,W
213,73,2015,2015-11-28 19:00:00,h,3,1.69105,19,10,6,10,2.0,0,D
213,72,2015,2015-11-28 19:00:00,a,3,0.729005,11,6,6,5,0.0,0,D
214,78,2015,2015-11-28 19:00:00,h,5,1.67836,19,8,7,7,1.0,0,W
214,86,2015,2015-11-28 19:00:00,a,1,0.791299,7,2,13,5,1.0,0,L
215,88,2015,2015-11-28 19:00:00,h,3,2.12331,16,9,14,6,2.0,0,W
215,74,2015,2015-11-28 19:00:00,a,1,1.24478,12,8,11,4,1.0,0,L
216,75,2015,2015-11-28 21:30:00,h,1,0.876256,7,3,5,1,0.0,0,D
216,89,2015,2015-11-28 21:30:00,a,1,1.05613,10,2,7,8,1.0,0,D
217,82,2015,2015-11-29 16:00:00,h,0,0.333494,9,4,14,4,4.0,0,D
217,80,2015,2015-11-29 16:00:00,a,0,0.283375,5,1,9,4,2.0,0,D
218,81,2015,2015-11-29 18:05:00,h,1,1.41404,17,6,15,5,0.0,0,D
218,76,2015,2015-11-29 18:05:00,a,1,0.866305,7,3,16,2,2.0,0,D
219,87,2015,2015-11-29 20:15:00,h,1,1.19358,10,2,12,8,3.0,0,W
219,84,2015,2015-11-29 20:15:00,a,0,0.367517,9,0,6,7,1.0,0,L
220,79,2015,2015-11-29 20:15:00,h,1,1.01025,7,2,8,3,1.0,0,D
220,83,2015,2015-11-29 20:15:00,a,1,1.65699,12,3,6,6,1.0,0,D
221,85,2015,2015-12-05 16:45:00,h,2,2.01436,7,4,9,1,0.0,0,W
221,88,2015,2015-12-05 16:45:00,a,0,0.483752,11,4,10,6,1.0,0,L
222,84,2015,2015-12-05 19:00:00,h,0,0.780602,10,2,3,3,2.0,0,L
222,75,2015,2015-12-05 19:00:00,a,3,2.20962,16,5,19,8,3.0,0,W
223,90,2015,2015-12-05 19:00:00,h,2,2.07199,14,7,11,4,3.0,0,W
223,79,2015,2015-12-05 19:00:00,a,0,0.310524,7,1,10,1,3.0,0,L
224,76,2015,2015-12-05 19:00:00,h,1,1.48695,11,4,13,3,3.0,0,D
224,82,2015,2015-12-05 19:00:00,a,1,1.12876,9,3,10,6,2.0,0,D
225,83,2015,2015-12-05 19:00:00,h,3,2.29559,16,7,7,3,1.0,0,W
225,77,2015,2015-12-05 19:00:00,a,1,1.5228,11,4,11,2,1.0,0,L
226,89,2015,2015-12-05 19:00:00,h,0,1.76061,21,1,9,6,1.0,0,D
226,81,2015,2015-12-05 19:00:00,a,0,1.10206,9,2,13,2,0.0,0,D
227,74,2015,2015-12-05 19:00:00,h,1,2.86051,23,5,4,10,1.0,0,D
227,71,2015,2015-12-05 19:00:00,a,1,1.058,9,2,9,4,2.0,0,D
228,80,2015,2015-12-05 21:30:00,h,0,1.66952,19,6,10,11,2.0,0,L
228,73,2015,2015-12-05 21:30:00,a,1,1.25911,15,5,13,4,1.0,0,W
229,86,2015,2015-12-06 20:00:00,h,2,0.646346,6,1,6,2,3.0,0,W
229,87,2015,2015-12-06 20:00:00,a,0,0.999043,10,1,10,7,1.0,0,L
230,72,2015,2015-12-08 00:00:00,h,1,1.69774,19,4,4,13,1.0,0,D
230,78,2015,2015-12-08 00:00:00,a,1,1.1905,14,5,11,6,2.0,0,D
231,79,2015,2015-12-12 16:45:00,h,1,1.49283,9,2,9,5,1.0,0,D
231,72,2015,2015-12-12 16:45:00,a,1,2.43558,15,3,6,4,0.0,0,D
232,88,2015,2015-12-12 19:00:00,h,2,1.34338,13,5,13,5,3.0,0,W
232,84,2015,2015-12-12 19:00:00,a,1,0.962789,13,7,15,5,1.0,0,L
233,77,2015,2015-12-12 19:00:00,h,0,0.879474,14,2,6,8,1.0,0,L
233,90,2015,2015-12-12 19:00:00,a,1,2.0562,13,8,9,3,0.0,0,W
234,78,2015,2015-12-12 19:00:00,h,1,1.31177,12,5,11,8,0.0,0,W
234,74,2015,2015-12-12 19:00:00,a,0,0.890411,15,3,13,5,0.0,0,L
